title,text,url,category
Official dimensions prove incorrect: Galaxy Z Fold7 and Oppo Find N5 thicker than specified,"For the launch of the Galaxy Z Fold7 in July, Samsung is advertising the smartphone as the thinnest foldable in the world, just like Oppo did a few weeks ago, but the official figures do not exactly stand up to close scrutiny. This also explains the varying specifications in thickness for the Galaxy Z Fold6 successor.

4 Reviews ← exclude selected types

If you're looking for the official dimensions of a smartphone, the details can usually be found in the corresponding data sheet because that's where you'll find the measurements down to the millimeter, right? Wrong. Manufacturers seem to have established idiosyncratic measurement methodologies, at least for foldables, which, while logically justifiable, seem quite arbitrary.

Well-known French leaker Steve Hemmerstoffer aka @OnLeaks, who recently asked the X community for the exact dimensions of the Galaxy Z Fold 6 (available here at Amazon), got the ball rolling. He didn't want to know what the data sheet says, but rather how thick the Samsung foldable actually is in practice. Based on a CAD module, he measured the soon-to-be-launched successor Galaxy Z Fold7 as 4.5-mm thick back in February, which was undercut by equally reliable leaker Ice Universe's measurement of 3.9 mm.",https://www.notebookcheck.net/Official-dimensions-prove-incorrect-Galaxy-Z-Fold7-and-Oppo-Find-N5-thicker-than-specified.1015910.0.html,Technology
Apple to leverage AI for its upcoming battery-saving feature,"According to sources close to Bloomberg, Apple is working on an AI-powered battery-saving feature for its upcoming iOS 19. The feature will work based on the user's usage habits and optimize things in the background to extend battery life.

The AI will learn from users' behavior on the fly and reduce power consumption by optimizing apps in the background depending on the time of day. Apple is reportedly already training the AI using data collected from people's iPhones, so the system has a general idea of users' usage habits. After a while, the AI will adapt to the specific user's patterns.

Many Android smartphone OEMs have implemented the feature in the past, but it has never leveraged AI and a large data pool. So, it will be interesting to see how it will work on iOS.

Some believe Apple is implementing this feature to maintain adequate battery life on its upcoming iPhone 17 Air, if that's going to be the name, of course. Since the device will be extremely thin, the battery size will probably be pretty small, so Apple thinks it can compensate by introducing software smarts.

We might see our first glimpse of the battery life feature during this year's WWDC in June.

Source",https://www.gsmarena.com/apple_to_leverage_ai_for_its_upcoming_batterysaving_feature-news-67756.php,Technology
Lenovo Unveils New Generation of AI PC Desktops and Monitors Designed to Maximize Productivity and Multitasking,"Selection of ThinkCentre M Series Gen 6 desktops built for AI performance;

Family of ThinkVision T Series Gen 40 monitors ideal for modern workplaces

Morrisville, NC, May 14, 2025 – Lenovo™ unveiled its new generation of business devices for modern workplaces, featuring a comprehensive selection of AI-powered ThinkCentre M Series Gen 6 desktops and the ThinkVision T Series Gen 40 monitors. Designed to address the needs of businesses of all sizes, the ThinkCentre family of desktops combine performance and reliability in different form factors, including tower, compact and all-in-one (AIO), while the ThinkVision T Series monitors blend outstanding display, connectivity, and manageability.

“Nearly half of businesses believe that AI-powered devices boost employee productivity, and 90 percent of those are already piloting, planning or exploring AI-powered PC rollouts, according to a recent Lenovo and IDC global survey of IT decision-makers. AI has and will continue to reshape the future of work, and Lenovo is proud to lead the way with a new generation of AI desktop PCs and monitors that meet the changing needs of businesses in this new era,” said Johnson Jia, senior vice president of Intelligent Devices Group’s Global Innovation Center at Lenovo. “Our latest ThinkCentre M Series Gen 6 desktops and ThinkVision T Series Gen 40 monitors power businesses of all sizes with scalable performance to unlock next-gen AI productivity and creativity.”

Scalable Power and Towering Performance

An uncompromised blend of power and expandability, Lenovo’s ThinkCentre M Series Gen 6 tower and small form factor desktops are engineered for the most demanding business environments. Designed for AI model training, 3D designs, data analysis and more, the desktops provide maximum TOPs performance from a combination of CPU and discrete NPU and GPU, and outstanding connectivity with a variety of ports. Tower models such as the ThinkCentre M90t Gen 6 are equipped with up to Intel vPro® Enterprise with AI-capable Intel® Core™ Ultra 9 Processors (Series 2), DDR5 memory support and 8 expansion slots that makes it futureproof.

Big Capability with a Tiny Footprint

Ideal for compact settings, the ThinkCentre M Series Gen 6 desktops also come in a compact, 1L design that can fit or hide behind a monitor screen or even inside a desk drawer. Ideal for healthcare, retail, and financial industries, these tiny desktops deliver full-size enterprise-level AI performance and can be fully customized, from components to accessories such as mounting options. Select models, including the ThinkCentre M90q Gen 6 can be powered by up to an Intel® Core™ Ultra 9 processor, supports up to four displays and can come with an option discrete NPU at 30 TOPs for protected on-device AI.

Streamlined Design Meets AI Intelligence

For companies demanding clutter-free AI-performance, the Lenovo ThinkCentre M Series Gen 6 AIO desktops offer efficient power with an immersive display. Designed for the most demanding industries, including those requiring 3D visualization such as healthcare, creativity, and education, the new generation of AIOs can deliver up to 260 TOPS of AI performance with Intel® Core™ ultra processors. Select models, such as the ThinkCentre M90a Gen 6, feature a 23.8” near edgeless FHD anti-glare display with 99% sRGB color accuracy, a smooth 120Hz refresh rate1 for crisp visuals, and certifications for EyeSafe® and IP55 water and dust resistance.2

Lenovo’s new ThinkCentre M Series Gen 6 desktops come with Lenovo’s proprietary AI solutions, including Lenovo AI Now on-device personal assistant to enhance workflow productivity and automation and Lenovo AI Turbo Engine that continuously allocates resources to optimize performance based on workload, and are backed by Lenovo ThinkShield, a comprehensive end-to-end security solution that combines hardware and software to protect your data. For additional security, they spot a dTPM 2.0 chip that encrypts passwords and data, a BIOS-based Smart USB protection and individual USB port disablement to help prevent unauthorized access via peripherals, and more.

Visual Performance and Versatile Connectivity

The ideal choice for modern professionals, Lenovo’s ThinkVision T Series Gen 40 monitors deliver performance that cater to individual needs. The family of WQHD and UHD IPS displays feature a wide 99% sRGB & BT.709 color gamut for accurate and vibrant images and a variable refresh rate3 (48-120Hz) that dynamically adjusts to match on-screen content for long term energy saving and smooth visuals. Designed to boost efficiency, each monitor sports an array of connectivity options, including USB-C® one cable solution on ThinkVision docking monitors, built-in modular VoIP remote conference technologies with AI-powered features4 and more. Select units offers fast device charge with up to 100W power delivery.5

Responsible Design and Centralized Management

Lenovo’s commitment to the increased use of more sustainable materials6 is reflected in the lineup of ThinkVision T Series Gen 40 monitors, using 95% post-consumer recycled plastic7 with plastic-free packaging. The lineup is also certified to meet the industry’s most rigorous environmental standards, including ENERGY STAR®, TCO, and EPEAT Gold8. For IT managers, Lenovo Display Fleet Manager (LDFM) enhances remote manageability with centralized asset management, firmware updates, and display setting configurations. With LDFM, firmware updates in around a minute and can be deployed in batches to minimize downtime for end-users.

Pricing and Availability9

Lenovo ThinkCentre M90t Gen 6 is now available with an expected starting price of $1,039

Lenovo ThinkCentre M90s Gen 6 is now available with an expected starting price of $1,059

Lenovo ThinkCentre M90q Gen 6 is now available with an expected starting price of $989

Lenovo ThinkCentre M90a Gen 6 is now available with an expected starting price of $1,399

Lenovo ThinkCentre M90a Pro Gen 6 is now available with an expected starting price of $1,719

Lenovo ThinkCentre M70t Gen 6 is now available with an expected starting price of $1,019

Lenovo ThinkCentre M70s Gen 6 is now available with an expected starting price of $1,029

Lenovo ThinkCentre M70q Gen 6 is now available with an expected starting price of $959

Lenovo ThinkCentre M70a Gen 6 is now available with an expected starting price of $1,269

Lenovo ThinkVision T24-40 is now available with an expected starting price of $268

Lenovo ThinkVision T27Q-40 is now available with an expected starting price of $434

Lenovo ThinkVision T27QD-40 is now available with an expected starting price of $483

Lenovo ThinkVision T27-40 is now available with an expected starting price of $342

Lenovo ThinkVision T27UD-40 is now available with an expected starting price of $608

Lenovo ThinkVision T34WD-40 is now available with an expected starting price of $623

About Lenovo

Lenovo is a US$57 billion revenue global technology powerhouse, ranked #248 in the Fortune Global 500, and serving millions of customers every day in 180 markets. Focused on a bold vision to deliver Smarter Technology for All, Lenovo has built on its success as the world’s largest PC company with a pocket-to cloud portfolio of AI-enabled, AI-ready, and AI-optimized devices (PCs, workstations, smartphones, tablets), infrastructure (server, storage, edge, high performance computing and software defined infrastructure), software, solutions, and services. Lenovo’s continued investment in world-changing innovation is building a more equitable, trustworthy, and smarter future for everyone, everywhere. Lenovo is listed on the Hong Kong stock exchange under Lenovo Group Limited (HKSE: 992) (ADR: LNVGY). To find out more visit https://lenovo.com and read about the latest news via our StoryHub.

1 Actual refresh rate may vary based on app/content limitations and requirements, device mode settings, and other factors.

2 IP55 water and dust resistance on the front face of selected models only. Water and dust resistance were tested to IP55 standards under controlled laboratory conditions. Protected against fresh water projected by a nozzle (6.3mm) against the enclosure from any direction. Exposure to conditions beyond this rating is not covered by warranty. Resistance will decrease as a result of normal wear. Do not expose to liquids other than fresh water. Do not attempt to charge a wet phone. Designed to provide protection against the ingress of solid foreign objects of a size larger than 1mm. Not waterproof or dust proof.

3 Variable Refresh Rate is supported as specified in HDMI 2.1 / Dynamic Refresh Rate is available for Microsoft Windows

4 Only available with ThinkVison T24D-4v, ThinkVision T27QD-4v and ThinkVision T24-4v.

5 Output rating of 100W (20V/5A) based on Lenovo’s proprietary VDM technology.

6 Full details of Lenovo’s commitment to sustainability found at https://www.lenovo.com/us/en/about/sustainability/

7 ITE-derived plastic in the front bezel, rear cover, arm cover, and base cover.

8 EPEAT-registered where applicable — see www.epeat.net for registration status by country.

9 Prices may not include tax and do not include shipping or options and are subject to change without notice; additional terms and conditions apply. Reseller prices may vary. On-shelf dates and color options may vary by geography and products may only be available in select markets. All offers subject to availability. Lenovo reserves the right to alter product offerings, features and specifications at any time without notice.

LENOVO, THINKCENTRE, THINKVISION and THINKSHIELD are trademarks of Lenovo. Intel, Intel Core, Intel vPro and Thunderbolt are trademarks of Intel Corporation or its subsidiaries in the U.S. and/or other countries. USB Type-C® and USB-C® are registered trademarks of USB Implementers Forum. All other trademarks are the property of their respective owners. ©2025 Lenovo Group Limited. All rights reserved.",https://news.lenovo.com/pressroom/press-releases/lenovo-unveils-new-generation-of-ai-pc-desktops-and-monitors-designed-to-maximize-productivity-and-multitasking/,Technology
"All-New Nissan Patrol (Armada) Drags Refreshed Lexus LX, One Behemoth Is Just Inches Ahead","Mat Watson and his friends from the carwow team aren't in Great Britain anymore - they're somewhere sunny and dry, but they still like to race as if they're back at home.

More precisely, they're visiting the Al Ain Municipality in the Al Ain Region of Abu Dhabi, the United Arab Emirates. Over there, they made some friends who were kind enough to give them access to the Tilal Swaihan stadium, arena, and sports venue for some usual quarter-mile drag and half-mile roll race shenanigans, followed by a classic brake test.

The protagonists on this occasion are the recently facelifted Lexus LX – though, unfortunately, they're not testing the new LX 700h but rather the well-known LX 600, which packs the 3.4-liter V35A-FTS twin-turbo V6 and churns out 415 hp and 650 Nm or 479 lb-ft of torque via the ten-speed Direct Shift automatic transmission. Next to it resides the all-new seventh-generation Nissan Patrol (known as Armada in North America) instead of the Infiniti QX80.

However, they share a lot of components, including the new 3.5-liter VR35DDTT twin-turbo V6 with 425 horsepower and a nine-speed automatic transmission. The thing about the two full-size body-on-frame SUV models that differentiates them, aside from the price, is weight – the Lexus LX is slightly lighter than the Nissan Patrol, according to the carwow team. Will that make a difference?

Well, as it turns out, when they start level and don't jump the start, the Lexus LX and Nissan Patrol go head-to-head like clockwork, and it's almost impossible to see which one of them wins a traditional quarter-mile dragstrip encounter because they're only inches apart when crossing the finish line. Alas, in the end, Mat concludes the Nissan Patrol wins two out of three, though both of them clock a best pass of 14.9s across the quarter mile on an unprepped surface.

Next up, they did a roll race over the half-mile distance, but over there it was clear that Lexus reigned supreme thanks to its better transmission setup. Last but not least, they also don't forget about the importance of safety – the final test is the emergency brake stop. This time around, all faults are excused for the newer Nissan Patrol because, although it's heavier, it has a much better stopping distance – we reckon it's at least a couple of SUVs between them.

By the way, if you want either in the United States instead of UAE, the all-new Nissan Armada sibling of the Patrol kicks off at $57,250 and you can choose SV, SL, Platinum, rugged Pro-4X, as well as a stylish Platinum Reserve trim level if you're willing to go up to $77k. Meanwhile, the Lexus LX starts from no less than $106,850 with Premium, Luxury, and F Sport Handling grades for the LX 600. The new LX 700h kicks off at $115k with the Overtrail and goes all the way up to more than $141k in Ultra Luxury form.",https://www.autoevolution.com/news/all-new-nissan-patrol-armada-drags-refreshed-lexus-lx-one-behemoth-is-just-inches-ahead-251308.html,Technology
Huawei’s first HarmonyOS laptop marks a bold break from Android compatibility,"Huawei HarmonyOS laptop represents radical departure from Android.

Unnamed device showcases China’s growing tech independence, with 2,000 apps by year-end.

Windows licence expiry forced transition.

Chinese tech giant Huawei has unveiled its first Huawei HarmonyOS laptop. It appears less like a triumphant debut and more like a calculated necessity born from expired licensing agreements and geopolitical tensions.

Speaking at a closed-door event in Shenzhen – the bustling high-tech hub where Huawei’s headquarters oversee its global operations – Zhu Dongdong, the company president of tablets and PCs, presented what may be the most significant software departure in the company’s recent history.

The laptop, still without an official name, runs HarmonyOS 5 (also known as HarmonyOS Next), marking the first iteration of Huawei’s operating system to completely abandon Android compatibility.

The timing isn’t coincidental. Huawei’s Microsoft Windows licence for personal computers expired in March, effectively forcing the company’s hand in an industry already navigating complex international relationships.

While some Huawei laptops have previously offered Linux options, the majority of the company’s portable computers have relied on Windows, making the recent transition a significant shift.

The laptop showcases ambitious artificial intelligence integration through Celia, the company’s digital assistant. According to state-backed newspaper Securities Times, Celia can create presentation slides, summarise meeting minutes, and retrieve information from local documents – capabilities that depend heavily on third-party software availability.

The dependency highlights the potential, and limitations, of Huawei’s independent ecosystem approach. Software compatibility remains a crucial battleground for the Huawei HarmonyOS laptop initiative.

The device supports Chinese alternatives to Western applications, including WPS (China’s Microsoft Office equivalent) and Alibaba Group’s enterprise collaboration platform DingTalk.

Perhaps more intriguingly, the laptop bridges mobile and desktop computing by supporting mobile applications like RedNote, Bilibili, and ByteDance’s Feishu, creating a hybrid ecosystem that traditional PC manufacturers haven’t fully explored.

The interface design reflects the mobile-desktop convergence. Users encounter a smartphone-inspired home screen displaying apps as icons, cards, or folders, while a macOS-style dock anchors the bottom of the screen. The design philosophy suggests Huawei is betting on familiarity rather than revolutionary interface concepts.

Industry observers note that Huawei’s HarmonyOS journey began in 2015, well before current geopolitical tensions reached their peak. The company’s commitment to this long-term strategy became apparent with last year’s Mate 70 series smartphones, which marked HarmonyOS’s complete break from Android compatibility.

The March introduction of the foldable Pura X reinforced the trajectory. The broader HarmonyOS ecosystem now covers over 160 Huawei devices, including smartphones, tablets, televisions, and wearables.

The extensive compatibility network provides a foundation for the laptop’s introduction, though questions remain about consumer adoption and enterprise acceptance beyond China’s borders.

Market data from Counterpoint Research reveals HarmonyOS’s growing influence in China, achieving a 19% market share in Q4 2024. Its performance outpaced Apple’s iOS (17% market share) for four consecutive quarters, though Android maintained dominance with 64% market share.

The figures suggest Huawei’s ecosystem strategy is gaining traction domestically, but breaking into global markets presents additional challenges.

The laptop’s planned May 19 official launch represents more than a product announcement – it symbolises China’s determination to develop independent technology solutions amid ongoing trade restrictions. Zhu’s declaration that Huawei had “fully entered the era of HarmonyOS” for terminal devices underscores this strategic pivot.

Technical specifications remain limited, but Huawei promises over 2,000 supported applications by year-end, according to state-backed newspaper Nanfang Daily. The ambitious target reflects both the ecosystem’s rapid development and the challenges of building a competitive software library from scratch.

The implications extend beyond Huawei’s corporate strategy. As Chinese tech companies develop independent solutions, global technology markets may fragment into distinct ecosystems, potentially reshaping how consumers and enterprises approach device selection and software compatibility.

For Huawei, the HarmonyOS laptop represents opportunity and risk in equal measure. Success could validate the company’s substantial investment in independent operating system development, while failure might highlight the difficulties of competing with established platforms like Windows and macOS.

As the official launch approaches, industry watchers will scrutinise not just technical capabilities, but also pricing, availability, and enterprise adoption potential. The unnamed Huawei HarmonyOS laptop may ultimately be remembered as either a bold innovation or a cautionary tale about the complexities of building independent technology ecosystems.

Whether this laptop succeeds or struggles, its introduction marks a definitive moment in the ongoing evolution of global technology markets, where political pressures and business necessities drive innovation and decisions.",https://techwireasia.com/2025/05/huaweis-first-harmonyos-laptop-marks-a-bold-break-from-android-compatibility/,Technology
Huawei schedules nova 14 series launch event,"Huawei is set to announce its nova 14 series on May 19 at 2:30 PM Beijing time. The upcoming midrange phones will consist of at least three devices with a nova 14, nova 14 Pro and an Ultra model joining the ranks.



Huawei nova 14 launch event posters

Huawei shared an early look at the Nova 14 Ultra. The device was showcased in a teaser video. The teaser suggests it will feature a telephoto sensor, and based on previous speculation, it should offer a 12MP zoom sensor. The nova 14 series phones are expected to boot HarmonyOS Next out of the box.



Huawei nova 14 Ultra

The nova 14 series will be joined by a new MateBook Pro laptop running the recently unveiled HarmonyOS PC operating system. Huawei could also showcase some new wearables at the event



Huawei MateBook Pro 2025

Source (in Chinese)",https://www.gsmarena.com/huawei_schedules_nova_14_series_launch_event__-news-67763.php,Technology
Samsung announces limited edition two-tone Titanium Black Galaxy Ring,"The Samsung Galaxy S25 Edge was announced earlier today (you can find a price breakdown here). But this isn’t the only announcement from today – tucked in at the bottom of the Korean press release is a note that Samsung is launching a limited edition Galaxy Ring in a two-tone titanium black color.

This will be sold alongside the Galaxy S25 Edge at the Samsung Gangnam flagship store starting tomorrow. To be clear, you can buy the ring on its own, but if you get the S25 Edge + two-tone Ring combo, you will score a 20% discount on the ring itself and KRW 100,000 in Samsung Electronics membership points.



Samsung Galaxy Ring in Titanium Silver and Titanium Black

You want to hear something funny? Samsung announced the new colorway for the Galaxy Ring but didn’t provide any images of it – none, nada, not a single one. So, here is the Ring in Titanium Silver and Titanium Black above, the two-tone version should be a mix of those two.

This might have been your only chance to see the two-tone version – the press releases for other countries make no mention of this new version and it’s not clear how many rings have been made either.

Despite some reports that the Galaxy Ring 2 will launch early, there is no official news on that yet – but we’ll keep our eyes open during the Galaxy Z Fold7 and Z Flip7 launch.

Source (in Korean)

Samsung Galaxy S25 Edge",https://www.gsmarena.com/samsung_announces_limited_edition_twotone_titanium_black_galaxy_ring-news-67754.php,Technology
Google’s bringing Gemini to your car with Android Auto,"Google is bringing Gemini, its generative AI, to all cars that support Android Auto in the next few months, the company announced at its Android Show ahead of the company’s 2025 I/O developer conference.

The company says adding Gemini functionality to Android Auto and, later this year, to cars that run Google’s built-in operating system, will make driving “more productive — and fun” in the blog post.

“This is really going to be, we think, one of the largest transformations in the in-vehicle experience that we’ve seen in a very, very long time,” Patrick Brady, the VP of Android for Cars, said during a virtual briefing with members of the media ahead of the conference.

Gemini will surface in the Android Auto experience in two main ways.

Gemini will act as a much more powerful smart voice assistant. Drivers (or passengers — Brady said they are not voice-matching to whoever owns the phone running the Android Auto experience) will be able to ask Gemini to send texts, play music, and basically do all the things Google Assistant was already able to do. The difference is users won’t have to be so robotic with their commands thanks to the natural language capabilities of Gemini.

Gemini can also “remember” things like whether a contact prefers receiving text messages in a particular language, and handle that translation for the user. And Google claims Gemini will be capable of doing one of the most commonly paraded in-car tech demos: finding good restaurants along a planned route. Of course, Brady said Gemini will be able to mine Google listings and reviews to respond to more specific requests (like “taco places with vegan options”).

The other main way Gemini will surface is with what Google is calling “Gemini Live,” which is an option where the digital AI is essentially always listening and ready to engage in full conversations about … whatever. Brady said those conversations could be about everything from travel ideas for spring break, to brainstorming recipes a 10-year-old would like, to “Roman history.”

Techcrunch event Join us at TechCrunch Sessions: AI Secure your spot for our leading AI industry event with speakers from OpenAI, Anthropic, and Cohere. For a limited time, tickets are just $292 for an entire day of expert talks, workshops, and potent networking. Exhibit at TechCrunch Sessions: AI Secure your spot at TC Sessions: AI and show 1,200+ decision-makers what you’ve built — without the big spend. Available through May 9 or while tables last. Berkeley, CA | REGISTER NOW

If that all sounds a bit distracting, Brady said Google believes it won’t be. He claimed the natural language capabilities will make it easier to ask Android Auto to do specific tasks with less fuss, and therefore Gemini will “reduce cognitive load.”

It’s a bold claim to make at a time when people are clamoring for car companies to move away from touchscreens and bring back physical knobs and buttons — a request many of those companies are starting to oblige.

There’s a lot still being sorted out. For now, Gemini will leverage Google’s cloud processing to operate in both Android Auto and on cars with Google Built-In. But Brady said Google is working with automakers “to build in more compute so that [Gemnini] can run at the edge,” which would help not only with performance but with reliability — a challenging factor in a moving vehicle that may be latching onto new cell towers every few minutes.

Modern cars also generate a lot of data from onboard sensors, and on some models, even interior and exterior cameras. Brady said Google has “nothing to announce” about whether Gemini could leverage that multi-modal data, and that “we’ve been talking about that a lot.”

“We definitely think as cars have more and more cameras, there’s some really, really interesting use cases in the future here,” he said.

Gemini on Android Auto and Google Built-In will be coming to all countries that already have access to the company’s generative AI model, and will support more than 40 languages.

Check out how to watch the livestream and more from Google I/O.",https://techcrunch.com/2025/05/13/googles-bringing-gemini-to-your-car-with-android-auto/,Technology
Game publishers rush to fill fall 2025 gap left by GTA VI delay,"Following the announcement that Grand Theft Auto (GTA) VI will launch in May 2026, video game publishers are seizing the opportunity to schedule major releases for fall 2025, traditionally one of the most profitable seasons for the gaming industry.

The delay of the highly anticipated Rockstar Games title has opened up a coveted window for competing publishers to avoid going head-to-head with what is expected to be one of the biggest game launches of the decade. Major companies are now positioning their titles to capitalize on the absence of GTA VI from this year’s release calendar.

Electronic Arts was among the first to react, confirming that its next Battlefield installment will be released within the current fiscal year ending in March 2026. The announcement came just days after the GTA delay, signalling a strategic move to lock in a more favourable release period.

Meanwhile, Take-Two is also expected to push forward with another of its high-profile titles, Mafia: The Old Country, during the same timeframe.

Several other anticipated games, including Dying Light: The Beast and Killing Floor 3, could also benefit from the reshuffling, with fall 2025 now offering a rare window of opportunity.

The stretch from September through early December is traditionally seen as a golden quarter for the industry, bolstered by public holidays and holiday shopping. However, the long development cycles typical of blockbuster games make last-minute adjustments difficult.

As a result, this period may instead see a wave of expansion packs, remastered editions, and releases from smaller studios with games nearing completion.

For established franchises and publishers, the GTA delay could be a significant advantage. Titles like Battlefield, as well as EA’s annual FC and Madden NFL releases, now face fewer obstacles in capturing players’ attention—and wallets.

Still, the flood of new titles vying for attention in the fall could create its own challenges. With many consumers increasingly cautious about spending and competition likely to be fierce, not every release is guaranteed to benefit.

The delay has also raised broader questions about the industry’s growth trajectory heading into 2025. GTA VI was expected to generate billions in sales and stimulate console purchases.

Its absence, combined with rising console prices linked to global tariffs, could weigh on overall hardware sales.

Despite these concerns, the gaming industry has shown signs of resilience. Recent strong forecasts from key players suggest that while GTA VI may be absent, other titles could still drive momentum and help offset any slowdown.",https://profit.pakistantoday.com.pk/2025/05/13/game-publishers-rush-to-fill-fall-2025-gap-left-by-gta-vi-delay/,Technology
Google unveils first major update to ‘G’ icon in a decade,"The logo of Google LLC is seen at the Google Store Chelsea in Manhattan, New York City, U.S., November 17, 2021. PHOTO:REUTERS

Listen to article

Google has begun rolling out the first major redesign of its iconic ‘G’ icon in nearly a decade, ahead of its annual I/O 2025 developer conference scheduled for May 20.

The updated logo features a smooth gradient transition between Google’s four signature colours — red, yellow, green, and blue — replacing the previous design with solid colour blocks.

This refreshed 'G' icon, now live in the latest Google Search app update (version 16.18 beta) on Android and iOS, is part of a broader visual update inspired by the brand's AI-driven direction, including Gemini and other Google AI features.

The new gradient design is intended to evoke a more dynamic and modern aesthetic, aligning with Google's evolving product ecosystem.

The design shift marks the first major change to the ‘G’ symbol since September 2015, when Google introduced its Product Sans typeface and transitioned from the old lowercase 'g' on a blue background to the multicoloured capital ‘G’.

The company has yet to confirm whether other Google product logos, such as Chrome or Maps, will adopt similar gradient styles.

As of now, the redesigned icon appears only in the Google Search app and as a homescreen logo on mobile devices. It remains unclear if the primary six-letter “Google” wordmark or other visual elements will be updated as well.

This branding refresh comes as Google seeks to unify its visual identity across platforms amid a growing focus on generative AI and cross-device experiences.",https://tribune.com.pk/story/2545553/google-unveils-first-major-update-to-g-icon-in-a-decade,Technology
