title,text,url,category
TECNO Camon 40 Premier 5G launched in Pakistan with smart AI capabilities and professional camera,"Sleek and stylish, the new model combines cutting-edge AI features with a modern, ultra-slim design.

TECNO has launched the latest addition to its flagship Camon 40 Series, the Camon 40 Premier 5G, in Pakistan. Designed for photography enthusiasts and style-conscious users, the Camon 40 Premier 5G combines advanced AI-powered imaging capabilities with a sleek, trendy design, offering an exceptional blend of performance and elegance.

With the Camon 40 Premier 5G, TECNO has once again established itself as a leader in mobile imaging innovation, delivering a device that captures life’s moments with unmatched clarity and style.

The pinnacle of photography and AI in a sleek, modern design

The Camon 40 Premier 5G features a powerful triple rear camera setup, including a 50MP Sony LYT-701 Ultra Night Camera, a 50MP Ultra-Wide Angle Camera and a 50MP Periscope Telephoto Camera. Whether capturing sweeping landscapes or detailed close-ups, this advanced camera system ensures exceptional clarity and versatility in every shot.

Additionally, the 50MP AF Front Camera ensures that every selfie is sharp, clear, and true to life, making it perfect for content creators and selfie enthusiasts alike.

What truly sets the Camon 40 Premier 5G apart is its AI-powered FlashSnap feature, which enables users to capture sharp, bright photos instantly, even in low-light conditions or when subjects are in motion. Complementing this is a suite of intelligent photography tools designed to elevate every shot.

Features like AI Erase 2.0 allow users to effortlessly remove unwanted objects from photos, while AI Image Extender expands the background to create wider, more immersive images. For portrait enthusiasts, AI Perfect Face subtly enhances facial features while maintaining a natural look, and AIGC Portrait 2.0 delivers professional-grade portrait shots with stunning clarity and depth.

All of these advanced features are packed into the device that is just 7.7mm thin and 193g light, making it both stylish and comfortable to hold. TECNO Camon 40 Premier 5G is available in two stunning colour options, Emerald Lake Green and Galaxy Black, offering a stylish choice to suit every personality.

The Camon 40 Premier 5G boasts a stunning 6.67-inch AMOLED Display with 1.5K resolution and a smooth 144Hz Refresh Rate, delivering an ultra-responsive and immersive viewing experience.

To ensure long-lasting durability, the display is protected by Corning Gorilla Glass 7i, offering robust resistance against everyday scratches and drops. The smartphone features an ultra-drop-resistant body and has received SGS 5-Star Drop-Resistance Certification. Additionally, with IP68 and IP69 Dust and Water Resistance, the Camon 40 Premier 5G is a reliable companion for users with active, on-the-go lifestyles.

Smart AI features for everyday efficiency

Beyond photography, the Camon 40 Premier 5G is engineered to make every day smartphone use smarter and more efficient. The new AI Productivity Suite introduces several intelligent features, including a One-Tap Button that provides instant access to your favorite functions or personal assistant with a single press.

AI Search transforms the way users browse by allowing them to visually search for information; simply circle any object in an image, whether it is food, a product or a landmark and the AI will instantly deliver relevant results. Meanwhile, the AI Machine Assistant learns user behaviour over time to offer personalised suggestions, streamlining daily routines.

Powerful performance that lasts all day

Moreover, the Camon 40 Premier 5G is powered by the MediaTek Dimensity 8350 Ultimate chipset, ensuring smooth performance and efficient multitasking across all AI features and applications. It also features a robust 5100mAh battery with 70W fast charging, enabling users to power up in just minutes.

To support high performance, the smartphone features 256GB ROM and 12GB + 12GB Extended RAM for an ultra-smooth and responsive user experience.

Price and availability

The TECNO Camon 40 Premier 5G is now available in Pakistan at a price of Rs119,999. As a special launch offer, the first 100 customers will receive a complimentary pair of TECNO TWS Sonic 1 earbuds.

Customers can purchase the Camon 40 Premier 5G from their nearest smartphone market and online on PriceOye. The device is duly approved by the Pakistan Telecommunication Authority (PTA) and supports all mobile networks across Pakistan, ensuring seamless and reliable connectivity. TECNO also offers a 12+1 month official warranty, providing added peace of mind with every purchase.

To get your hands on latest Camon 40 Premier 5G, visit https://priceoye.pk

This content is an advertisement by TECNO and is not associated with or necessarily reflective of the views of Dawn.com or its editorial staff.",https://www.dawn.com/news/1913840/tecno-camon-40-premier-5g-launched-in-pakistan-with-smart-ai-capabilities-and-professional-camera,Technology
"Over 184 Million Passwords From Apple, Microsoft, Google, Others Leaked In Massive Data Breach","In yet another huge data breach, a massive number of account credentials such as logins and passwords to email and bank accounts have been exposed online. Cybersecurity researcher Jeremiah Fowler has in a report disclosed that he found a huge internet database of over 184 million unique account credentials.

Fowler discovered a file containing usernames, passwords, emails, and URLs for numerous apps and websites, including Facebook, Instagram, Snapchat, Microsoft, Apple, Google, and others. Not just that, credentials for government portals, health platforms, and bank and financial accounts were also included in the database.

The most dangerous bit was that there was no encryption on the file. The lack of password security or any other protection means millions of sensitive pieces of data are available in plain text for cybercriminals to misuse.",https://www.ndtvprofit.com/technology/over-184-million-passwords-from-apple-microsoft-google-others-leaked-in-massive-data-breach,Technology
"Oppo A3 Price Dropped in Pakistan; Save Up to Rs 3,000 on 6/128GB Variant","Usama Rasool May 27, 2025

The Chinese phone maker has quietly given a price cut to one of its entry-level devices in Pakistan. Oppo A3 (6/128GB) is now offering users a discount of up to Rs 3,000, making the phone a more attractive option in the competitive budget segment.





The Oppo A3 was previously available at Rs 43,000, but with the official price cut, you can now purchase it for Rs. 39,999 across Pakistani stores. This should raise the phone’s value proposition in the market, putting it back in the spotlight. Here’s a brief overview of all its specifications.

CLICK HERE TO SEE

Oppo Latest Budget Model Price in Pakistan 2025

This device has a Snapdragon 6 Gen 1 chip inside, which provides the Oppo A3 with 4G connectivity and decent processing speeds. It’s capable enough to glide through your daily workloads without breaking a sweat, and 6 GB RAM should be plenty for light multitasking.





There’s a 6.67” IPS screen on the front of Oppo latest budge model that serves you a standard 720p resolution and a 1000 nits brightness level. One of its better qualities is a 90Hz refresh rate for fluid animations and visuals. This phone also has a 180Hz touch response rate and reinforced Panda Glass.

The handsets launched in the budget market usually cut some corners to achieve lower prices. Oppo A3 is laced with compromises in the camera department. There’s only a 5 MP camera on the front, which is usually considered subpar within this price range.





We get two other sensors on the back: one is a 50 MP primary, and the other is an unspecified assistive lens with an LED flash on the side. There is a fingerprint reader beneath the volume key, and the phone powers everything up using a 5100mAh battery under the hood.

CLICK HERE TO SEE

Oppo A3 Price in Pakistan & Specs

The battery is plugged into a 45W fast-charging kit. We have a mono speaker grille at the bottom, a Type-C jack, and a 3.5mm audio port as well. The Oppo A3 measures 7.7mm thin with an IP54 rating and military-grade shock resistance. This phone is certainly worth a look now that the company has decided to drop its price to Rs 39,999 in Pakistan.",https://www.whatmobile.com.pk/oppo-a3-price-dropped-in-pakistan-save-up-to-rs-3000-on-6128gb-variant-news-6105,Technology
Realme GT6 Latest Price & Specifications in Pakistan- May 2025,"Realme GT6 features a large 6.78″ display, providing an immersive viewing experience. It comes with 512GB Built-in storage and 16GB of RAM, ensuring smooth performance and ample space for apps and media.

The Realme GT6 is equipped with a versatile camera setup, including three cameras on back, with the main 50 MP along with 50 MP and 8 MP camera, and an 32 MP front camera for high-quality selfies. Powered by a robust 5500 mAh battery, the Realme GT6 offers long-lasting usage, making it a reliable choice for everyday use.

Also Read Xiaomi 15s Pro Expected Price & Specifications- Check Here Xiaomi is working on the 15s Pro model, the future's flagship and...

Network Technology GSM / HSPA / LTE / 5G Smartphone deals 2G bands GSM 850 / 900 / 1800 / 1900 – SIM 1 & SIM 2 3G bands HSDPA 800 / 850 / 900 / 1700(AWS) / 1900 / 2100 4G bands 1, 2, 3, 4, 5, 7, 8, 12, 13, 17, 18, 19, 20, 26, 28, 38, 39, 40, 41, 66 5G bands 1, 3, 5, 7, 8, 20, 28, 38, 40, 41, 66, 77, 78 SA/NSA Speed HSPA, LTE, 5G

Launch Announced 2024, September Status Available. Released 2024, October 15

Body Dimensions 162 x 75.1 x 8.6 mm (6.38 x 2.96 x 0.34 in) Weight 199 g (7.02 oz) Build Smartphone deals Glass front (Gorilla Glass Victus 2), plastic frame, glass back SIM Dual SIM (Nano-SIM, dual stand-by) IP65 dust and water resistant

Display Type LTPO AMOLED, 1B colors, 120Hz, HDR 10+, Dolby Vision, 1600 nits (HBM), 6000 nits (peak) Size 6.78 inches, 111.7 cm2 (~91.8% screen-to-body ratio) Resolution 1264 x 2780 pixels (~450 ppi density) Protection Corning Gorilla Glass Victus 2

Platform OS Android 14, up to 3 major Android upgrades, Realme UI 5.0 Chipset Qualcomm SM8635 Snapdragon 8s Gen 3 (4 nm) CPU Octa-core (1×3.0 GHz Cortex-X4 & 4×2.8 GHz Cortex-A720 & 3×2.0 GHz Cortex-A520) GPU Adreno 735

Memory Card slot No Internal 256GB 8GB RAM, 256GB 12GB RAM, 512GB 16GB RAM UFS 4.0

Main Camera Triple 50 MP, f/1.7, (wide), 1/1.4″, PDAF, OIS

50 MP, f/2.0, 47mm (telephoto), 1/2.8″, PDAF

8 MP, f/2.2, 16mm, 112Ëš (ultrawide), 1/4.0″, 1.12Âµm Features Dual-LED flash, HDR, panorama Video 4K@30/60fps, 1080p@30/60/120/240fps, gyro-EIS

Selfie camera Single 32 MP, f/2.5, 22mm (wide), 1/2.74″ Features Panorama Video 4K@30fps, 1080p@30fps

Sound Loudspeaker Yes, with stereo speakers 3.5mm jack No 24-bit/192kHz Hi-Res audio

Comms WLAN Wi-Fi 802.11 a/b/g/n/ac/6, dual-band Bluetooth 5.4, A2DP, LE, aptX HD, LHDC Positioning GPS (L1+L5), GLONASS, BDS, GALILEO, QZSS NFC Yes, 360Ëš Infrared port Yes Radio No USB USB Type-C 2.0

Features Sensors Fingerprint (under display, optical), accelerometer, gyro, proximity, compass, color spectrum

Battery Type 5500 mAh, non-removable Charging 120W wired, 50% in 10 min, 100% in 28 min (advertised)

Rating Rating Average rating is 4.3 stars, based on 2 reviews.

The Realme GT6 is priced at Rs. 149,999 in Pakistan and $536 USD.",https://www.bolnews.com/technology/2025/05/realme-gt6-latest-price-specifications-in-pakistan-may-2025/,Technology
"Realme Note 60 Price Slashed in Pakistan; 4/128GB Model Offers Rs 2,000 Discount","Usama Rasool May 26, 2025

Realme has just announced a price cut for one of its budget-friendly models available in Pakistan. It’s now offering a flat Rs 2,000 discount on the Realme Note 60 (4/128GB) variant, giving locals a chance to buy this device for a much cheaper price tag.





Realme Note 60 (4/128GB) is now available for Rs 26,999, down from its original retail price of Rs 29,000. It’s not much, but the phone already offers great value for money, and this discount adds a cherry on top. If you want to buy this device, make sure to read this review first to get familiar with its specifications.

CLICK HERE TO SEE

New Realme 4G Mobile 2025 Price in Pakistan

Its chassis is made of die-cast aluminum with a plastic back and glass front. It’s rated IP64 for dust and splash resistance, which is pretty decent for a phone at this price. Note 60’s display has reinforced glass that makes it safe from scratches and fall damage.





Speaking of displays, the new Realme 4G mobile carries a massive 6.74” IPS LCD with a waterdrop notch. There’s only a 5MP front camera, so you might need to get comfortable with low-res selfies. A 560 nits typical brightness with 720p resolution is modest, but we do find its 90Hz refresh rate commendable.

It is presented with two camera lenses on the back, but there’s only one usable sensor here with a 32MP resolution, which can do 1080p 30FPS videos. The other lens is only for decorative purposes. This model is 7.8mm thin, a quality that isn’t easy to come by on an entry-level device.





You get a massive 5000mAh cell inside this phone, providing a decent one-day backup. The only caveat is the slow 10W charging. It might need more than two hours to refill. The Note 60 carries a weak Unisoc T612 processor, running a system with Android 14 x Realme UI 5 out of the box.

CLICK HERE TO SEE

Realme Note 60 Price in Pakistan & Specs

There’s also a fingerprint ID on the side, SD card expansion, and Dual-Band WiFi. The Bluetooth is only version 5.0 but should work with most of your wireless accessories. The Realme Note 60 variant with 4/128GB memory is a great choice for a budget daily driver, priced at Rs 26,999.",https://www.whatmobile.com.pk/realme-note-60-price-slashed-in-pakistan-4128gb-model-offers-rs-2000-discount-news-6104,Technology
Two Teenage Mutant Ninja Turtles Games on Sale NOW!,"Good knews for Master Splinter fans. Two popular Ninja Turtles games, Splintered Fate and Wrath of the Mutants, are now heavily discounted on multiple platforms. These limited-time offers provide fans with an excellent opportunity to experience these titles at reduced prices.







Ninja Turtles: Splintered Fate – Up to 50% Off

Splintered Fate, a roguelike action game developed by Super Evil Megacorp, is currently priced at $14.99 on both Nintendo Switch and Steam, a 50% discount. This promotion is applicable until June 3rd on Switch and June 5th on Steam.

In addition, the “Casey Jones & The Junkyard Jam” expansion is included in the Splintered Fate + DLC bundle, which is priced at $16.64 (PKR 4,700 approx.) on Switch and $17.69 (PKR 5,000 approx.) on Steam respectively. New enemies, five new artifacts, challenging foes, and co-op gameplay are all included in the DLC.

Splintered Fate is available at a 20% discount for PlayStation Plus subscribers until June 3rd, resulting in a price of $23.99 (PKR 6,800 approx.).







Wrath of the Mutants – Up to 60% Off

Wrath of the Mutants, a beat-em-up game originally released in arcades in 2017, is now available for $11.99 (PKR 3,400 approx.) on Nintendo Switch and PlayStation. However, it remains at its regular price of $29.99 (PKR 8,500 approx.) on Steam and Xbox. This discount is valid through May 29th on PlayStation and June 5th on Switch.

These discounts provide an excellent opportunity for fans to dive into the TMNT universe. Now is a fantastic opportunity to add Splintered Fate’s fast-paced, roguelike action or Valhalla of the Mutants’ traditional beat-em-up gameplay to your library.",https://www.techjuice.pk/two-teenage-mutant-ninja-turtles-games-on-sale-now/,Technology
WhatsApp Web Will Soon Organize Media from All Chats in One Place,"WhatsApp is developing a new feature for its web version that will allow users to access all shared media and files from all chats in one place. The feature, known as the Chat Media Hub, is currently under development and is expected to be released in a future update.

The Chat Media Hub will provide a centralized interface for browsing all images, videos, GIFs, documents, and links shared across every chat. This includes individual, group, and community conversations. Users will no longer need to open each chat separately to find specific content.

ALSO READ Skype is Officially Dead After 20 Years of Service

The feature will appear as a new section in the sidebar of the web client, offering quick access to the entire media history across all conversations. Within the hub, users can scroll through shared content and view additional details such as the sender’s name and the date the file was shared.

Search and File Management Tools

WhatsApp will include a caption-based search function to help users locate specific items more easily. Users will also be able to sort content by the most recent, oldest first, or largest file size. A multi-select option will support batch actions such as downloading, forwarding, or deleting multiple items at once.

These capabilities are designed to assist with both content search and storage management, enabling users to identify and remove large or unwanted files more efficiently.

ALSO READ WhatsApp Wins $167 Million Lawsuit for Suffering a Cyber Attack from Israeli Spyware Company

Earlier updates indicated that WhatsApp was developing a similar feature for community group chats in its Android beta version. However, the web-based Chat Media Hub will expand this functionality to cover all chats, offering a more comprehensive solution for media access and organization.

Availability

The feature is still under development and has not yet been released for public or beta testing. WhatsApp has not provided a specific timeline for its rollout but has confirmed that it will be included in a future update of the web client.",https://propakistani.pk/2025/05/27/whatsapp-web-will-soon-organize-media-from-all-chats-in-one-place/,Technology
Google's Veo 3 turns viral distracted boyfriend meme into hilarious AI-powered video,"Google has recently launched Veo 3, its latest AI-powered video generator that allows users to create videos from text prompts, complete with audio. This advanced tool, which integrates dialogue, sound effects, and even lip-syncing, has been making waves among AI enthusiasts.

Available to U.S. subscribers of Google’s $249.99 Ultra subscription plan, as well as through Google’s Vertex AI platform, Veo 3 has sparked a flurry of creative videos, including unique takes on internet memes.

Good lord, Veo-3. I keep alternating between being stunned and laughing my ass off. pic.twitter.com/sdmEHoJlBh — Theoretically Media (@TheoMediaAI) May 21, 2025

Scary pic.twitter.com/7Yu9tNYRMT — Barkin • ברקין • Баркин • 巴尔金 (@B2RKN) May 26, 2025

One of the most notable and trending recent uses of Veo 3 has been the transformation of the internet's beloved “Distracted Boyfriend” meme into a full-fledged video. A user leveraged the AI’s video generation capabilities to animate the iconic meme and bring it to life.

Someone used Google’s Veo 3 AI to bring this meme to life

pic.twitter.com/Er3rsee8qg — Dexerto (@Dexerto) May 26, 2025

It features a man checking out another woman while his girlfriend gives him a disapproving look. This new video rendition adds movement, dialogue, and sound effects, bringing the meme to life in an unexpected and entertaining way.

-X.

The ""Distracted Boyfriend"" meme, which originated in a stock photo taken by Spanish photographer Antonio Guillem, became a global sensation after it was shared widely in 2017. With labels placed on each character to create various humorous scenarios, the meme became versatile and applicable to any 'either-or' situation making it one of the most viral memes in internet history.",https://tribune.com.pk/story/2547966/googles-veo-3-turns-viral-distracted-boyfriend-meme-into-hilarious-ai-powered-video,Technology
Xiaomi Just Took Aim at Apple and Tesla -- And It's Not Backing,"Xiaomi (XIACY, Financial) just fired a shot at two of the world's most valuable companies — and it wasn't subtle. At a splashy product launch in China, CEO Lei Jun unveiled the 15S Pro smartphone, priced at just 5,499 yuan ($764), making it eligible for a government subsidy. That's well below the iPhone 16 Pro's 7,999 yuan starting point — a critical price edge in a country where the 6,000 yuan threshold unlocks discounts for consumers. More importantly, Lei claimed Xiaomi's homegrown chip, the Xring O1, beats Apple's (AAPL, Financial) A18 Pro in key areas like thermal performance during gaming. It took four years and $1.87 billion to develop — and it's already in mass production using the same 3nm process that powers Apple's flagship.

But phones are just the warm-up act. Xiaomi's real ambition might be on four wheels. After undercutting Tesla (TSLA, Financial) last year with its SU7 sedan — priced $4,000 lower than the Model 3 — the company is now preparing to launch the YU7 SUV in July. Lei didn't reveal pricing, but he did drop a few details: the YU7 will feature chips from Qualcomm and Nvidia, advanced driver assist, and up to 835 km of range. Still, the road hasn't been smooth. A fatal SU7 crash triggered tighter ad rules on driver-assist features. Despite that, Xiaomi delivered 28,000 vehicles in April and shows no signs of slowing down.

Investors will get their next read on May 27, when Xiaomi reports Q1 results. Last year, it posted record revenue and profit, with nearly 42% of sales coming from overseas markets. The stock is already up over 50% year-to-date — and with Lei pledging 200 billion yuan in R&D through 2031, the market may be starting to realize: this isn't just a phone company anymore. Xiaomi wants to play in every arena Apple and Tesla dominate — and it's bringing its own chips, cars, and pricing power to the fight.",https://www.gurufocus.com/news/2889911/xiaomi-just-took-aim-at-apple-and-tesla-and-its-not-backing-down,Technology
"Xiaomi Poco F7 Clears NBTC & SDPPI Certifications, Points to Broader Asian Launch","Usama Rasool May 28, 2025

Xiaomi Poco F7 is inching closer to its global debut. Following earlier FCC clearance, the phone has now passed certifications in both Thailand and Indonesia. These are clear signs that its launch is just around the corner. Here’s what we know so far.





The company has yet to announce the official launch date for the global Poco F7. We recently found this device on Thailand’s regulatory site called the “NBTC,” and now the same model has surfaced on the Indonesian SDPPI database as well.

CLICK HERE TO SEE

Xiaomi Poco New Model 2025 Price in Pakistan

After getting certifications from both of these regulators, it’s only a matter of days before Poco F7 debuts in the global market. Xiaomi Poco F7 can be identified with the model code “25053PC47G” on both certifications. The letter ”G” hints at the phone’s global trajectory.





NBTC confirms that the Xiaomi Poco new model has 5G antenna bands, and it supports NR (New Radio) connections. Sadly, the regulator’s documentation lacks the specifics regarding the Poco F7. You can also find this device on the SDPPI database, again, with limited information.

Apart from these two certifiers, we’ve found Poco F7 (Global) on Singapore’s IMDA, Europe’s EEC, and USA’s FCC databases, pointing out several regions where the phone is supposed to launch in the upcoming days. If the rumors are to be believed, you might find a familiar device rebranded as Poco F7 in the global markets.





Poco F7 might show up on the global stage as a name-swapped Redmi Turbo 4 Pro with a Snapdragon 8s Gen 4 chip, 12GB or 16GB RAM, and up to 1TB of UFS 4.0 storage. Xiaomi often passes on the Redmi Turbo models to the global markets as rebranded Poco devices, and this handset is no different.





Redmi Turbo 4 Pro claims to have an HDR brightness of 3200 nits. It carries an AMOLED 6.83” screen with 1.5k resolution and a 120Hz refresh rate. There is also a massive 7550mAh battery inside this new device, which you can recharge at 90W.

CLICK HERE TO SEE

Xiaomi Poco F7 Price in Pakistan & Specs

Poco F7 is speculated to have similar specifications to the Redmi Turbo 4 Pro, but there’s no official announcement to back up this claim. With the launch nearing fast, we might find more details about the Poco F7 in the upcoming days, so stay tuned for updates.",https://www.whatmobile.com.pk/xiaomi-poco-f7-clears-nbtc-sdppi-certifications-points-to-broader-asian-launch-news-6107,Technology
